id,equipment_id,tenant_id,computed_at,health_index,iso_score,trend_score,correlation_score,uptime_score,crest_factor,kurtosis,drms_dt,iso_grade,vel_rms_avg,vel_rms_max,predicted_days_to_service,predicted_failure_mode,operating_hours,operating_state,notes,created_at,hi_iso_component,hi_trend_component,hi_correlation_component,hi_uptime_component
2981,73,b2c3d4e5-f6a7-8901-bcde-f12345678901,2026-03-09,70.7,,,,,1.091,2.35,,D,24.706,,,,,RUNNING,,2026-04-02 10:10:14.90455,26.6,100,100,100
2982,73,b2c3d4e5-f6a7-8901-bcde-f12345678901,2026-03-10,54.3,,,,,1.059,2.384,,D,25.813,,,,,RUNNING,,2026-04-02 10:10:31.174364,24.4,38,100,100
2983,73,b2c3d4e5-f6a7-8901-bcde-f12345678901,2026-03-11,52.7,,,,,1.066,2.442,,D,27.888,,,,,RUNNING,,2026-04-02 10:10:49.124252,20.3,38.3,100,100
2984,73,b2c3d4e5-f6a7-8901-bcde-f12345678901,2026-03-12,30,,,,,,,,-,,,,,,PARTIAL,,2026-04-02 10:11:01.497626,,,,
2985,73,b2c3d4e5-f6a7-8901-bcde-f12345678901,2026-03-13,30,,,,,,,,-,,,,,,OFFLINE,,2026-04-02 10:11:11.807231,,,,
2986,73,b2c3d4e5-f6a7-8901-bcde-f12345678901,2026-03-14,30,,,,,,,,-,,,,,,PARTIAL,,2026-04-02 10:11:22.75902,,,,
2987,73,b2c3d4e5-f6a7-8901-bcde-f12345678901,2026-03-15,30,,,,,,,,-,,,,,,OFFLINE,,2026-04-02 10:11:35.046124,,,,
2988,73,b2c3d4e5-f6a7-8901-bcde-f12345678901,2026-03-16,30,,,,,,,,-,,,,,,PARTIAL,,2026-04-02 10:11:46.434445,,,,
2989,73,b2c3d4e5-f6a7-8901-bcde-f12345678901,2026-03-17,30,,,,,,,,-,,,,,,PARTIAL,,2026-04-02 10:11:57.159956,,,,
2990,73,b2c3d4e5-f6a7-8901-bcde-f12345678901,2026-03-18,30,,,,,,,,-,,,,,,OFFLINE,,2026-04-02 10:12:08.98193,,,,
2991,73,b2c3d4e5-f6a7-8901-bcde-f12345678901,2026-03-19,30,,,,,,,,-,,,,,,PARTIAL,,2026-04-02 10:12:22.383565,,,,
2992,73,b2c3d4e5-f6a7-8901-bcde-f12345678901,2026-03-20,30,,,,,,,,-,,,,,,OFFLINE,,2026-04-02 10:12:35.661574,,,,
2993,73,b2c3d4e5-f6a7-8901-bcde-f12345678901,2026-03-21,30,,,,,,,,-,,,,,,PARTIAL,,2026-04-02 10:12:46.602753,,,,
2994,73,b2c3d4e5-f6a7-8901-bcde-f12345678901,2026-03-22,30,,,,,,,,-,,,,,,OFFLINE,,2026-04-02 10:12:56.952103,,,,
2995,73,b2c3d4e5-f6a7-8901-bcde-f12345678901,2026-03-23,30,,,,,,,,-,,,,,,OFFLINE,,2026-04-02 10:13:05.38053,,,,
2996,73,b2c3d4e5-f6a7-8901-bcde-f12345678901,2026-03-24,30,,,,,,,,-,,,,,,PARTIAL,,2026-04-02 10:13:15.95813,,,,
2997,73,b2c3d4e5-f6a7-8901-bcde-f12345678901,2026-03-25,30,,,,,,,,-,,,,,,OFFLINE,,2026-04-02 10:13:27.357193,,,,
2998,73,b2c3d4e5-f6a7-8901-bcde-f12345678901,2026-03-26,30,,,,,,,,-,,,,,,OFFLINE,,2026-04-02 10:13:36.625166,,,,
2999,73,b2c3d4e5-f6a7-8901-bcde-f12345678901,2026-03-27,30,,,,,,,,-,,,,,,PARTIAL,,2026-04-02 10:13:47.443785,,,,
3000,73,b2c3d4e5-f6a7-8901-bcde-f12345678901,2026-03-28,30,,,,,,,,-,,,,,,PARTIAL,,2026-04-02 10:13:59.279883,,,,
3001,73,b2c3d4e5-f6a7-8901-bcde-f12345678901,2026-03-29,30,,,,,,,,-,,,,,,OFFLINE,,2026-04-02 10:14:09.75069,,,,
3002,73,b2c3d4e5-f6a7-8901-bcde-f12345678901,2026-03-30,30,,,,,,,,-,,,,,,OFFLINE,,2026-04-02 10:14:20.510621,,,,
2452,73,b2c3d4e5-f6a7-8901-bcde-f12345678901,2025-01-29,90.2,,,,,1.144,3.071,,B,5.029,,,,,RUNNING,,2026-04-02 07:07:49.213964,87.1,81.5,100,100
2453,73,b2c3d4e5-f6a7-8901-bcde-f12345678901,2025-01-30,87,,,,,1.249,5.587,,B,4.98,,,,,RUNNING,,2026-04-02 07:08:07.612934,87.4,80.7,84.1,100
2457,73,b2c3d4e5-f6a7-8901-bcde-f12345678901,2025-01-31,96.1,,,,,1.289,3.804,,B,4.75,,,,,RUNNING,,2026-04-02 07:08:52.926872,90.3,100,100,100
2459,73,b2c3d4e5-f6a7-8901-bcde-f12345678901,2025-02-01,73.2,,,,,1.441,1.737,,B,4.271,,,,,RUNNING,,2026-04-02 07:09:05.933706,93,4.1,100,100
2462,73,b2c3d4e5-f6a7-8901-bcde-f12345678901,2025-02-02,86.5,,,,,1.204,6.678,,B,4.8,,,,,RUNNING,,2026-04-02 07:09:30.139288,88.4,85.8,73.2,100
2467,73,b2c3d4e5-f6a7-8901-bcde-f12345678901,2025-02-03,90.2,,,,,1.188,4.166,,B,4.812,,,,,RUNNING,,2026-04-02 07:09:59.88758,88.4,80.7,98.3,100
2470,73,b2c3d4e5-f6a7-8901-bcde-f12345678901,2025-02-04,89,,,,,1.19,4.325,,B,4.756,,,,,RUNNING,,2026-04-02 07:10:13.411593,88.7,76.7,96.7,100
2473,73,b2c3d4e5-f6a7-8901-bcde-f12345678901,2025-02-05,88.5,,,,,1.184,5.054,,B,4.776,,,,,RUNNING,,2026-04-02 07:10:13.461631,88.6,80.9,89.5,100
2677,73,b2c3d4e5-f6a7-8901-bcde-f12345678901,2025-07-07,85.3,,,,,1.095,2.594,,C,9.617,,,,,RUNNING,,2026-04-02 07:31:53.884823,66.9,94.1,100,100
